dataset,method,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n,status,panel
cluto-t8-8k,Torque Clustering,0.7162114678045155,0.3629021753289045,0.3337395381430704,0.9998697407841604,8,31,23,40.677661,2307.09,8000,ok,challenge8
cluto-t8-8k,LDCC,0.9204856834342314,0.8503321610003908,0.820861911134316,0.8503321610003908,8,7,1,23.666719,677.055,8000,ok,challenge8
cluto-t8-8k,Gauging-delta,0.5355599350378825,0.4303764491337762,0.2135985444054947,0.4303764491337762,8,4,4,6886.638789,3800.969,8000,ok,challenge8
cluto-t8-8k,DPC-MFP,0.5315653159665928,0.0971733750162824,0.0650524741789172,0.9988276670574444,8,214,206,37.63371,1596.938,8000,ok,challenge8
bng_segment,SNI-DPC,0.5390156797962508,0.5533333333333333,0.3411454306877138,0.555,7,6,1,5.13053,159.168,600,ok,challenge8
bng_segment,Gravity,0.5742458223590217,0.5733333333333334,0.4172135933666724,0.5733333333333334,7,5,2,6.13927,203.375,600,ok,challenge8
bng_segment,Torque Clustering,0.4552209832800756,0.4016666666666666,0.2139713176016041,0.4016666666666666,7,3,4,42.113082,1124.484,600,ok,challenge8
bng_segment,LDCC,0.5093714626988076,0.4183333333333333,0.2188672404240121,0.4183333333333333,7,3,4,9.799835,166.441,600,ok,challenge8
bng_segment,Gauging-delta,0.4664837219569517,0.0116666666666666,0.0,1.0,7,600,593,249.47175,582.473,600,ok,challenge8
bng_segment,DPC-MFP,0.5792152090402615,0.5716666666666667,0.393823792980652,0.6116666666666667,7,11,4,42.384655,1134.695,600,ok,challenge8
bng_mushroom,SNI-DPC,0.3601661159060475,0.5883333333333334,0.3325728000973122,0.8966666666666666,2,5,3,5.27312,161.617,600,ok,challenge8
bng_mushroom,Gravity,0.2975956283314241,0.5133333333333333,0.2539638376146221,0.8683333333333333,2,5,3,6.724633,202.523,600,ok,challenge8
bng_mushroom,Torque Clustering,0.3055886911989634,0.3883333333333333,0.2136903697280978,0.8733333333333333,2,6,4,41.391408,1123.562,600,ok,challenge8
bng_mushroom,LDCC,0.2023429534722425,0.6633333333333333,0.1053624070754706,0.6633333333333333,2,2,0,10.128137,165.66,600,ok,challenge8
bng_mushroom,Gauging-delta,0.0044443068276802,0.5066666666666667,-0.0012079268031695,0.5183333333333333,2,2,0,145.372004,588.305,600,ok,challenge8
bng_mushroom,DPC-MFP,0.3264612180095576,0.3966666666666666,0.2135718010140154,0.93,2,26,24,42.963359,1132.777,600,ok,challenge8
2dnormals,SNI-DPC,0.3671410740845853,0.821,0.4115683439723874,0.821,2,2,0,4.821225,156.703,1000,ok,challenge8
2dnormals,Gravity,0.0,0.518,0.0,0.518,2,1,1,5.350985,235.43,1000,ok,challenge8
2dnormals,Torque Clustering,0.2876726522707659,0.193,0.1071126811510168,0.917,2,17,15,31.886918,1168.207,1000,ok,challenge8
2dnormals,LDCC,0.0,0.518,0.0,0.518,2,1,1,4.02286,162.453,1000,ok,challenge8
2dnormals,Gauging-delta,0.0369834916728335,0.517,0.0006064735125272,0.53,2,7,5,118.57038,1357.754,1000,ok,challenge8
